run_accession	fastq_ftp
SRR6468572	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468572/SRR6468572.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468572/SRR6468572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468572/SRR6468572_2.fastq.gz
SRR6468574	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468574/SRR6468574.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468574/SRR6468574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468574/SRR6468574_2.fastq.gz
SRR6468578	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468578/SRR6468578.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468578/SRR6468578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468578/SRR6468578_2.fastq.gz
SRR6468579	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468579/SRR6468579.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468579/SRR6468579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468579/SRR6468579_2.fastq.gz
SRR6468581	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468581/SRR6468581.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468581/SRR6468581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468581/SRR6468581_2.fastq.gz
SRR6468582	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468582/SRR6468582.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468582/SRR6468582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468582/SRR6468582_2.fastq.gz
SRR6468586	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468586/SRR6468586.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468586/SRR6468586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468586/SRR6468586_2.fastq.gz
SRR6468591	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468591/SRR6468591.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468591/SRR6468591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468591/SRR6468591_2.fastq.gz
SRR6468596	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468596/SRR6468596.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468596/SRR6468596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468596/SRR6468596_2.fastq.gz
SRR6468601	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468601/SRR6468601.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468601/SRR6468601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468601/SRR6468601_2.fastq.gz
